Line #,Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","BME280","","BME280","1","","","","","","",""
"","CONN 1x3","","EXT_UART, SBW","2","","","","","","",""
"","Cortex Debug Connector","","JTAG","1","","","","","","",""
"","LED_SMD","","LED1, LED2","2","","","","","","",""
"","ICS-40730","","MIC1","1","","","","","","",""
"","CONN 1x2","","PS","1","","","","","","",""
"","CRYST_32k768","","XT32k","1","","","","","","",""
"","100n","Capacitor","C1, C2, C3, C4, C7, C11, C20, C24, C25, C30, CE1, CE2","12","","","","","","",""
"","10u","Capacitor","C5","1","","","","","","",""
"","4u7","Capacitor","C6, C10","2","","","","","","",""
"","470n","Capacitor","C8, C9","2","","","","","","",""
"","10n","Capacitor","C12","1","","","","","","",""
"","12p","Capacitor","C13, C14","2","","","","","","",""
"","1u","Capacitor","C21, C22, C23","3","","","","","","",""
"","OPT3001DNPR","Imported","LGHT1","1","","","","","","",""
"","MSP430F6726_PN_8","Imported","U1","1","","","","","","",""
"","10","Resistor","R1, R25, R30, R31","4","","","","","","",""
"","R","Resistor","R2","1","","","","","","",""
"","47k","Resistor","R3","1","","","","","","",""
"","1k8","Resistor","R5, R6","2","","","","","","",""
"","1k5","Resistor","R20, R21, R22","3","","","","","","",""
"","10k","Resistor","R26, R27, R28, R29","4","","","","","","",""
